City,Cloudiness,Country,Date,Humidity (%),Lat,Lng,Temp (F),Wind Speed (MPH)
Atherton,64,GB,1533502200,64,53.52,-2.49,67.51,4.7
Mataura,56,NZ,1533503386,70,-46.19,168.86,29.7,2.71
Athens,1,US,1533502680,46,34.8,-86.97,92.43,6.93
Tambo,68,AU,1533503665,59,-24.88,146.25,67.41,17.25
Sisophon,80,KH,1533503665,97,13.59,102.97,73.98,6.73
Khash,0,IR,1533503665,26,28.22,61.21,69.12,4.16
Coihaique,75,CL,1533499200,57,-45.58,-72.07,49.71,4.7
Necochea,68,AR,1533503666,68,-38.55,-58.74,56.52,9.42
Sur,0,OM,1533503666,79,22.57,59.53,86.85,3.94
Gat,76,SN,1533503667,82,14.69,-16.54,80.01,12.21
Raudeberg,92,NO,1533502200,71,61.99,5.14,53.58,11.41
Ostrovnoy,56,RU,1533503667,97,68.05,39.51,50.58,7.4
Quatre Cocos,40,MU,1533499200,64,-20.21,57.76,68.0,6.93
Cabedelo,20,BR,1533499200,74,-6.97,-34.84,78.8,13.87
Eenhana,0,NA,1533503668,56,-17.48,16.34,65.34,4.38
Comodoro Rivadavia,75,AR,1533499200,76,-45.87,-67.48,51.8,4.7
Cidreira,0,BR,1533503669,79,-30.17,-50.22,57.6,11.43
Fairview,20,US,1533502560,48,40.81,-74.0,89.58,3.15
La Ciotat,0,FR,1533502800,48,43.17,5.6,80.6,6.93
Jamestown,88,AU,1533503670,94,-33.21,138.6,42.03,18.03
Nabire,24,ID,1533503671,94,-3.36,135.5,67.77,1.92
Nishihara,20,JP,1533502560,78,35.74,139.53,81.61,6.93
Haines Junction,20,CA,1533503671,53,60.75,-137.51,62.91,3.71
Broome,0,GB,1533502560,59,52.47,1.45,68.49,11.41
Lagoa,0,PT,1533502800,65,37.14,-8.45,77.0,2.24
Smithers,20,CA,1533502800,32,54.78,-127.17,80.6,4.7
Mackenzie,1,CA,1533502800,41,55.34,-123.09,77.0,4.7
Talnakh,92,RU,1533503673,97,69.49,88.39,45.9,3.38
Darhan,12,MN,1533503674,86,49.49,105.92,51.39,1.36
Tabuk,64,PH,1533503674,96,17.41,121.44,68.31,1.59
Saint George,20,GR,1533502200,68,39.45,22.34,68.0,3.36
Nerchinskiy Zavod,92,RU,1533503675,93,51.31,119.61,56.52,2.15
Port Alfred,0,ZA,1533503675,100,-33.59,26.89,54.18,5.39
Brae,92,GB,1533502200,87,60.4,-1.35,55.4,10.29
Narsaq,75,GL,1533502200,71,60.91,-46.05,50.0,6.93
Carnarvon,0,ZA,1533503676,85,-30.97,22.13,29.16,4.72
Bilibino,56,RU,1533503677,58,68.06,166.44,50.04,3.04
Airai,0,TL,1533503677,89,-8.93,125.41,61.02,0.92
Ternate,20,PH,1533499200,94,14.29,120.72,78.8,5.06
Znamenskoye,20,RU,1533503678,85,57.13,73.82,47.79,2.93
Iqaluit,90,CA,1533499200,75,63.75,-68.52,42.8,20.8
Nyurba,0,RU,1533503678,86,63.29,118.35,47.07,2.48
Saint-Augustin,0,FR,1533502800,45,44.83,-0.61,77.47,6.93
Nyagan,0,RU,1533503679,86,62.14,65.43,40.86,2.48
Berlevag,75,NO,1533502200,93,70.86,29.09,47.59,16.11
Riverview,75,CA,1533502800,69,46.06,-64.8,75.2,5.82
Grand Gaube,40,MU,1533499200,64,-20.01,57.66,68.0,6.93
Flinders,0,AU,1533502800,58,-34.58,150.85,59.0,19.46
Poso,0,ID,1533503681,100,-1.4,120.75,76.68,7.96
Wajid,8,SO,1533503681,72,3.81,43.25,73.98,11.54
Havoysund,92,NO,1533502200,93,71.0,24.66,50.0,25.28
Kabalo,0,CD,1533503682,38,-6.05,26.92,75.6,10.76
Yellowknife,90,CA,1533502800,93,62.45,-114.38,55.4,6.93
Seymchan,20,RU,1533503683,78,62.93,152.39,53.73,5.06
Grand-Santi,24,GF,1533503683,72,4.27,-54.38,82.8,2.15
Kodiak,1,US,1533498780,35,39.95,-94.76,98.6,14.99
Bandarbeyla,0,SO,1533503684,87,9.49,50.81,76.95,32.12
Mosquera,40,CO,1533499200,42,4.71,-74.23,66.2,10.29
Herrin,40,US,1533501900,52,37.8,-89.03,90.95,9.17
Abu Samrah,0,SY,1533503685,62,35.3,37.18,75.33,10.54
Sao Filipe,100,CV,1533503685,98,14.9,-24.5,77.67,7.18
Kahului,40,US,1533498960,66,20.89,-156.47,79.75,23.04
Coahuayana,32,MX,1533503686,64,18.62,-100.35,80.91,3.04
Katsuura,0,JP,1533503686,91,33.93,134.5,78.66,1.92
Brigantine,1,US,1533502560,55,39.41,-74.36,90.05,8.05
Leiyang,64,CN,1533503687,91,26.42,112.85,76.5,4.38
Chumikan,20,RU,1533503687,90,54.72,135.31,57.96,2.59
Tasiilaq,12,GL,1533503688,95,65.61,-37.64,45.36,3.49
Nuoro,0,IT,1533502200,83,40.32,9.33,77.0,4.7
Muisne,68,EC,1533503688,72,0.61,-80.02,79.92,8.52
Luena,0,AO,1533503688,60,-11.78,19.91,60.66,3.15
Nizhniy Ufaley,32,RU,1533503689,96,55.91,59.99,56.07,2.15
Crotone,0,IT,1533503689,100,39.09,17.12,80.46,2.93
Klaksvik,92,FO,1533502200,100,62.23,-6.59,50.0,9.17
Penzance,0,GB,1533498600,88,50.12,-5.53,63.37,6.93
Avarua,20,CK,1533502800,73,-21.21,-159.78,75.2,14.99
Kavaratti,44,IN,1533503690,98,10.57,72.64,82.08,18.59
Vestmanna,92,FO,1533502200,100,62.16,-7.17,50.0,9.17
Chicama,90,PE,1533499200,82,-7.84,-79.15,64.4,13.87
Zemio,8,CF,1533503691,94,5.02,25.13,71.01,2.48
New Norfolk,75,AU,1533502800,81,-42.78,147.06,42.8,5.82
Husavik,32,CA,1533503692,93,50.56,-96.99,67.59,15.23
Qasigiannguit,20,GL,1533502200,57,68.82,-51.19,48.2,4.7
Biak,48,ID,1533503692,95,-0.91,122.88,75.51,5.95
Esperance,40,TT,1533499200,59,10.24,-61.45,89.6,6.93
Tanout,0,NE,1533503693,67,14.97,8.88,80.46,11.54
Kumla,0,SE,1533502200,72,59.13,15.14,64.4,8.05
Lavrentiya,32,RU,1533503694,93,65.58,-170.99,46.26,10.65
Hambantota,24,LK,1533503694,95,6.12,81.12,81.09,19.6
Port Hardy,75,CA,1533502800,68,50.7,-127.42,68.0,9.17
Omsukchan,92,RU,1533503695,100,62.53,155.8,49.95,3.49
Dikson,92,RU,1533503695,100,73.51,80.55,39.6,13.67
Atuona,68,PF,1533503695,100,-9.8,-139.03,78.93,19.15
Bubaque,40,GW,1533502800,94,11.28,-15.83,77.0,3.36
Ust-Kut,68,RU,1533503696,89,56.78,105.75,48.24,0.47
Pevek,12,RU,1533503696,99,69.7,170.27,42.21,5.39
Houma,20,CN,1533503697,99,35.63,111.36,71.91,2.15
Tuktoyaktuk,90,CA,1533502800,93,69.44,-133.03,48.2,16.11
Adrar,0,DZ,1533502800,13,27.87,-0.29,98.6,9.17
Vila Franca do Campo,40,PT,1533502800,73,37.72,-25.43,71.6,10.29
Chuy,0,UY,1533503698,77,-33.69,-53.46,56.07,8.41
Zaria,75,NG,1533499200,74,11.11,7.72,78.8,7.4
Port Lincoln,48,AU,1533503699,100,-34.72,135.86,50.67,25.19
Hamilton,75,BM,1533498900,83,32.3,-64.78,80.6,11.41
Aklavik,90,CA,1533502800,81,68.22,-135.01,50.0,8.05
Dingzhou,92,CN,1533499200,100,38.51,115.0,80.6,2.24
Hole Narsipur,76,IN,1533503700,96,12.78,76.24,67.59,11.77
Pochutla,90,MX,1533498420,70,15.74,-96.47,85.33,13.87
Tingi,0,TZ,1533503701,100,-11.3,35.03,73.08,7.63
Bethel,90,US,1533503040,100,60.79,-161.76,55.4,17.22
Mookane,0,BW,1533503702,53,-23.68,26.66,61.02,4.72
Port-Cartier,90,CA,1533499920,88,50.03,-66.88,66.2,6.93
Almaznyy,20,RU,1533503703,54,48.03,40.04,70.83,7.96
Namibe,0,AO,1533503703,95,-15.19,12.15,66.15,12.66
Nadym,64,RU,1533503704,75,65.53,72.51,48.24,5.5
Ahipara,88,NZ,1533503704,100,-35.17,173.16,52.02,6.62
Gainesville,1,US,1533501300,43,29.65,-82.33,91.99,9.17
Buchanan,75,LR,1533502800,94,5.88,-10.05,73.4,7.63
Tiksi,0,RU,1533503705,82,71.64,128.87,49.5,3.6
Inhambane,0,MZ,1533503632,87,-23.87,35.38,71.91,16.02
Oistins,40,BB,1533499200,70,13.07,-59.53,86.0,13.87
Kloulklubed,90,PW,1533498600,88,7.04,134.26,80.6,9.17
Severo-Yeniseyskiy,44,RU,1533503706,71,60.37,93.04,49.68,4.94
Saskylakh,0,RU,1533503707,71,71.97,114.09,52.38,12.66
Nizwa,0,OM,1533503707,31,22.93,57.53,84.24,4.94
Algiers,1,US,1533501300,62,29.94,-90.04,89.96,6.93
Leeton,0,AU,1533503708,86,-34.55,146.4,47.79,11.99
Puerto Quijarro,75,BO,1533499200,93,-19.0,-57.72,54.48,10.29
Leningradskiy,92,RU,1533503708,99,69.38,178.42,36.27,6.4
Codrington,0,AU,1533503709,77,-28.95,153.24,57.24,6.73
Deputatskiy,8,RU,1533503709,50,69.3,139.9,46.35,3.94
Usinsk,88,RU,1533503709,73,66.0,57.56,48.78,9.75
Cayenne,75,GF,1533501000,100,4.94,-52.33,77.0,3.36
Ponta do Sol,24,BR,1533503710,77,-20.63,-46.0,68.94,3.04
Chokurdakh,76,RU,1533503710,88,70.62,147.9,35.73,12.1
Aksarka,24,RU,1533503710,89,66.56,67.8,44.1,7.63
Amga,64,RU,1533503711,91,60.89,131.98,47.7,4.38
Gazojak,0,TM,1533503711,46,41.19,61.4,77.76,2.59
Kamenka,0,RU,1533503712,70,53.19,44.05,71.82,2.71
Montevideo,1,US,1533501300,65,44.94,-95.72,80.28,4.7
Uige,36,AO,1533503712,68,-7.61,15.06,71.1,3.49
Sitka,12,US,1533503712,33,37.17,-99.65,98.91,16.58
Thaba-Tseka,8,LS,1533503713,73,-29.52,28.61,36.09,7.4
Dolores,44,AR,1533503714,74,-36.31,-57.68,56.7,8.52
Torbay,90,CA,1533502800,93,47.66,-52.73,57.2,17.22
Springfield,20,US,1533502320,34,37.22,-93.29,93.2,10.29
Poum,20,MK,1533499200,72,41.28,20.71,66.2,3.36
Mar del Plata,68,AR,1533503651,68,-46.43,-67.52,52.11,2.93
Udachnyy,0,RU,1533503716,68,66.42,112.4,47.61,3.94
Meridian,1,US,1533499860,49,32.36,-88.7,92.19,3.36
Upernavik,32,GL,1533503716,85,72.79,-56.15,44.01,3.04
Fenoarivo,20,MG,1533501000,93,-18.93,47.44,55.4,3.36
Xiaoweizhai,56,CN,1533503717,98,26.23,107.51,64.71,2.37
Manakara,8,MG,1533503717,99,-22.14,48.01,67.86,11.65
Halifax,90,CA,1533502800,100,44.65,-63.58,68.0,10.29
Acapulco,90,MX,1533498720,79,16.86,-99.88,86.0,6.93
Norman Wells,90,CA,1533502800,52,65.28,-126.83,69.8,16.11
Sasovo,8,RU,1533503719,62,54.35,41.93,68.76,8.08
Faanui,8,PF,1533503720,100,-16.48,-151.75,80.01,14.67
Coos Bay,90,US,1533502560,77,43.37,-124.22,61.29,9.17
Rome,20,IT,1533502200,74,41.89,12.48,80.74,2.24
Anadyr,90,RU,1533501000,93,64.73,177.51,48.2,6.71
Mahanoro,8,MG,1533503721,100,-19.9,48.8,62.64,3.49
Srednekolymsk,20,RU,1533503721,71,67.46,153.71,48.6,3.38
Aripuana,32,BR,1533503722,88,-9.17,-60.63,78.12,2.93
Cordoba,0,CO,1533503464,40,5.59,-73.79,67.86,6.17
Kathu,0,ZA,1533503722,71,-27.7,23.05,38.52,7.07
Jinchang,80,CN,1533503723,92,38.52,102.19,62.01,3.04
Sawtell,0,AU,1533501000,67,-30.38,153.1,60.8,1.12
Thinadhoo,68,MV,1533503723,100,0.53,72.93,82.26,11.1
Luderitz,0,NA,1533503724,85,-26.65,15.16,54.81,16.58
Ancud,88,CL,1533503724,92,-41.87,-73.83,50.58,7.63
Calbuco,90,CL,1533499200,93,-41.77,-73.13,51.8,12.75
Qaqortoq,75,GL,1533502200,71,60.72,-46.03,50.0,6.93
Constitucion,75,MX,1533498120,15,23.99,-104.67,80.6,5.82
Churapcha,92,RU,1533503725,100,62.0,132.43,48.78,4.94
Avera,1,US,1533501300,52,33.19,-82.53,92.14,3.71
Cefalu,0,IT,1533503726,100,38.04,14.02,66.87,1.7
Lompoc,1,US,1533501300,27,34.64,-120.46,75.78,17.22
Pahrump,1,US,1533502380,6,36.21,-115.98,98.29,4.7
Fare,92,PF,1533503727,100,-16.7,-151.02,77.13,16.13
Kattivakkam,40,IN,1533501000,88,13.22,80.32,82.4,4.7
East London,8,ZA,1533503605,100,-33.02,27.91,59.22,3.71
Sistranda,75,NO,1533502200,87,63.73,8.83,53.6,18.34
Lebu,76,ET,1533503728,97,8.96,38.73,52.38,3.38
Shimoda,0,JP,1533503728,98,34.7,138.93,80.73,12.1
Zhanakorgan,0,KZ,1533503729,41,43.91,67.25,74.61,9.42
Ozinki,8,RU,1533503729,43,51.2,49.73,74.52,9.42
Ferlach,20,AT,1533502800,88,46.53,14.3,68.0,4.7
Nanortalik,0,GL,1533503508,98,60.14,-45.24,42.21,9.53
Mirnyy,12,RU,1533503730,60,56.57,36.46,69.03,10.76
Pascagoula,40,US,1533502560,52,30.37,-88.56,89.96,9.17
Vicksburg,1,US,1533501300,46,32.35,-90.88,92.23,2.93
Sambava,68,MG,1533503731,100,-14.27,50.17,72.54,14.12
Ugoofaaru,56,MV,1533503731,99,5.67,73.0,82.71,13.0
Bandar-e Anzali,75,IR,1533499200,83,37.47,49.46,78.8,4.7
Khovu-Aksy,64,RU,1533503732,94,51.13,93.72,49.05,1.92
Souillac,0,FR,1533502800,45,45.6,-0.6,81.41,3.36
Bafq,0,IR,1533503732,25,31.6,55.4,71.91,3.71
Xapuri,90,BR,1533499200,93,-10.65,-68.5,62.6,11.41
Caidian,0,CN,1533499200,88,30.59,114.03,80.6,4.47
Fortuna,0,ES,1533501000,54,38.18,-1.13,84.2,1.12
Qaanaaq,48,GL,1533503734,84,77.48,-69.36,41.94,8.52
Tual,56,ID,1533503735,100,-5.67,132.75,78.48,10.98
Northam,0,GB,1533502200,72,51.04,-4.21,66.87,3.36
San Andres,56,PH,1533503735,100,13.32,122.68,81.54,22.5
Parakai,68,NZ,1533502800,87,-36.66,174.44,53.6,3.36
Dosso,68,NE,1533503736,84,13.05,3.19,81.54,6.51
Nouadhibou,20,MR,1533502800,83,20.93,-17.03,71.6,20.8
Vardo,40,US,1533502500,52,39.62,-77.74,88.3,3.15
Baykit,36,RU,1533503738,93,61.68,96.39,44.73,6.4
Kauhajoki,75,FI,1533502200,87,62.43,22.18,57.2,1.12
Thompson,40,CA,1533502800,51,55.74,-97.86,60.8,9.17
Sumenep,0,ID,1533503739,100,-7.02,113.87,77.04,11.54
San Francisco,20,US,1533502800,63,37.78,-122.42,76.14,23.04
Provideniya,90,RU,1533501000,76,64.42,-173.23,48.2,11.18
Swan Hill,76,AU,1533503740,87,-35.34,143.56,45.72,13.56
Port-Gentil,75,GA,1533499200,88,-0.72,8.78,73.4,4.7
Los Alamos,40,US,1533502380,26,35.88,-106.3,85.12,10.29
College,90,US,1533502680,82,64.86,-147.8,61.16,11.41
Saucillo,0,MX,1533503741,19,28.03,-105.29,93.42,9.53
Bahia Blanca,0,AR,1533503742,48,-38.72,-62.27,62.1,13.0
Alofi,75,NU,1533499200,60,-19.06,-169.92,75.2,9.17
Luanda,0,AO,1533499200,88,-8.83,13.24,68.0,3.36
Mattru,100,SL,1533503743,100,7.62,-11.83,72.81,3.49
Khani,40,GE,1533501000,94,41.96,42.96,71.6,2.24
Iranshahr,0,IR,1533499200,26,27.21,60.69,96.8,9.17
Nizhnyaya Maktama,20,RU,1533503744,74,54.86,52.43,67.14,6.51
Ust-Nera,92,RU,1533503744,98,64.57,143.24,47.97,2.48
Tolaga Bay,0,NZ,1533503744,93,-38.37,178.3,54.27,9.42
Salinas,1,US,1533502500,56,36.67,-121.66,73.49,12.75
Ocho Rios,40,JM,1533499200,70,18.41,-77.1,89.6,11.41
Ilulissat,20,GL,1533502200,57,69.22,-51.1,48.2,4.7
Lerwick,92,GB,1533502200,87,60.15,-1.15,55.4,10.29
Glace Bay,90,CA,1533502800,88,46.2,-59.96,69.8,10.29
Lima,0,PE,1533503747,70,-12.06,-77.04,65.79,3.04
Morki,12,RU,1533503747,86,56.43,49.0,63.18,5.39
Isangel,68,VU,1533503747,100,-19.55,169.27,70.83,13.67
Basar,76,IN,1533503748,93,27.98,94.69,71.73,1.7
Huilong,64,CN,1533503748,91,28.89,110.18,74.34,2.15
Kushima,75,JP,1533501720,100,31.5,131.29,73.4,2.24
Pombas,0,BR,1533503749,55,-15.9,-54.74,83.97,4.16
Yarke Pole,0,UA,1533503750,70,45.61,34.32,68.4,3.6
Verkhoyansk,0,RU,1533503750,52,67.55,133.39,52.2,8.41
Kitimat,40,CA,1533502800,39,54.02,-128.69,80.6,2.24
Nelson Bay,0,AU,1533502800,81,-32.72,152.14,48.2,8.05
Westerland,12,NL,1533502500,77,52.89,4.93,62.6,4.7
Alta Floresta,20,BR,1533499200,38,-9.87,-56.08,93.2,1.12
Meadow Lake,75,CA,1533499200,64,54.13,-108.44,71.6,3.36
Buala,32,SB,1533503752,94,-8.15,159.59,79.74,11.1
Sola,0,FI,1533502200,93,62.78,29.36,60.8,1.12
San Cristobal,40,EC,1533499200,52,-0.39,-78.55,64.4,21.92
Yumen,0,CN,1533503753,65,40.29,97.04,63.63,8.19
Cherskiy,12,RU,1533503753,65,68.75,161.3,48.33,3.04
Kondinskoye,44,RU,1533503540,82,59.65,67.41,49.68,6.73
Kavieng,92,PG,1533503754,100,-2.57,150.8,76.68,7.18
Port Hedland,0,AU,1533502800,46,-20.31,118.58,50.0,9.17
Tuatapere,20,NZ,1533503755,100,-46.13,167.69,42.75,3.15
Hasaki,20,JP,1533501060,100,35.73,140.83,77.0,2.24
Half Moon Bay,40,US,1533502800,87,37.46,-122.43,74.8,12.75
Quetigny,0,FR,1533502800,47,47.31,5.12,82.51,6.93
Sabla,68,NG,1533503756,98,12.75,4.71,71.28,2.59
Koslan,88,RU,1533503756,69,63.46,48.9,60.39,6.06
Damara,68,CF,1533499200,100,4.96,18.7,69.8,4.7
Lata,100,IN,1533503757,100,30.78,78.62,60.48,1.7
Torrington,1,US,1533502380,53,42.06,-104.18,73.99,9.17
Port Augusta,88,AU,1533502800,81,-32.49,137.76,46.4,12.75
Mangrol,100,IN,1533503758,70,25.33,76.51,82.8,10.98
Tutoia,20,BR,1533499200,74,-2.76,-42.27,84.2,16.11
Farah,0,AF,1533503759,23,32.37,62.11,79.56,7.52
Havelock,90,US,1533501900,83,34.88,-76.9,80.38,3.36
Bulanash,76,RU,1533503761,81,57.28,62.0,60.66,6.96
Jodhpur,92,IN,1533503761,60,26.3,73.04,86.04,14.79
Jenison,1,US,1533501360,41,42.91,-85.79,89.2,17.22
Aldan,0,RU,1533503762,88,58.61,125.39,43.74,2.37
Lorengau,88,PG,1533503762,100,-2.02,147.27,79.38,6.62
Arlit,44,NE,1533503763,57,18.74,7.39,85.5,6.51
Sabha,8,LY,1533503763,20,27.03,14.43,88.83,10.09
Khasan,56,RU,1533503763,100,42.43,130.64,66.78,1.48
Padang,92,ID,1533503764,100,-0.92,100.36,75.69,0.58
Novikovo,0,UA,1533503764,98,45.05,34.56,65.34,3.15
Beringovskiy,68,RU,1533503765,100,63.05,179.32,50.58,6.17
Zeya,0,RU,1533503765,76,53.74,127.27,51.66,3.6
Bhatkal,88,IN,1533503765,100,13.97,74.57,75.33,8.52
Nuevo Progreso,20,US,1533502500,59,26.05,-97.95,89.2,9.17
Christchurch,92,NZ,1533502800,100,-43.53,172.64,44.6,6.93
Homer,90,US,1533502380,72,59.64,-151.54,65.34,8.05
Damietta,0,EG,1533499200,74,31.42,31.81,82.4,8.05
Naze,75,NG,1533499200,94,5.43,7.07,75.2,5.82
Saint-Pierre,0,FR,1533502800,49,48.95,4.24,74.39,6.93
Jiayuguan,92,CN,1533503768,83,39.77,98.29,57.87,2.48
Kizema,56,RU,1533503769,98,61.11,44.83,61.11,9.64
Maxixe,0,MZ,1533503769,87,-23.86,35.35,71.91,16.02
Nikolskoye,0,RU,1533501000,88,59.7,30.79,64.4,4.47
Sarangani,56,PH,1533503770,99,5.4,125.46,83.34,8.97
Itarema,12,BR,1533503770,62,-2.92,-39.92,83.16,15.46
Spas-Demensk,24,RU,1533503771,67,54.41,34.03,67.68,7.07
Hare Bay,90,CA,1533502800,88,48.86,-53.99,64.4,11.41
Hafizabad,0,PK,1533503772,72,32.07,73.69,86.67,4.94
Notre-Dame-du-Lac,40,CA,1533498780,48,47.61,-68.8,84.2,3.36
Petropavlovsk-Kamchatskiy,32,RU,1533501000,87,53.05,158.65,55.4,6.71
Mineiros,68,BR,1533503772,33,-17.57,-52.55,84.33,6.96
Hofn,92,IS,1533503773,100,64.25,-15.21,49.32,11.54
Zapolyarnyy,75,RU,1533502200,87,69.43,30.82,51.8,5.82
Pudur,20,IN,1533499200,62,9.29,78.14,84.2,5.82
Nome,75,US,1533502500,62,30.04,-94.42,85.93,5.82
Heishan,12,CN,1533503774,75,41.69,122.12,71.28,7.74
Mecca,0,SA,1533499200,36,21.43,39.83,95.0,2.59
Giresun,0,TR,1533503628,100,40.91,38.39,59.58,2.04
North Platte,1,US,1533502380,74,41.12,-100.77,80.6,13.87
Kaitangata,44,NZ,1533503775,64,-46.28,169.85,32.04,1.59
Serramanna,20,IT,1533502200,73,39.42,8.92,74.84,8.05
Yasothon,88,TH,1533503776,98,15.8,104.15,73.08,5.61
Te Anau,36,NZ,1533503776,84,-45.41,167.72,31.14,3.38
Salalah,75,OM,1533498600,88,17.01,54.1,78.8,6.93
Kununurra,0,AU,1533502800,76,-15.77,128.74,55.4,9.53
Clyde River,90,CA,1533502800,100,70.47,-68.59,35.6,8.05
Broken Hill,0,AU,1533503778,66,-31.97,141.45,45.99,19.71
Xuddur,0,SO,1533503778,69,4.12,43.89,73.26,11.1
Gay,75,RU,1533499200,73,51.47,58.44,69.8,6.71
Bartica,75,GY,1533499200,55,6.41,-58.62,89.6,9.17
Arroyo,20,US,1533502440,54,41.39,-78.88,85.42,5.82
Eston,75,CA,1533499200,56,51.15,-108.75,71.6,11.41
Bobon,80,PH,1533503779,100,12.53,124.56,80.91,16.8
Dicabisagan,12,PH,1533503780,100,17.08,122.42,76.05,5.17
Maldonado,0,UY,1533499200,71,-34.91,-54.96,57.2,9.17
Tazovskiy,32,RU,1533503781,87,67.47,78.7,45.18,10.76
Santa Catarina Ixtahuacan,40,GT,1533499200,59,14.8,-91.37,89.6,9.17
Severo-Kurilsk,64,RU,1533503781,99,50.68,156.12,51.84,3.94
Ruwi,0,OM,1533498600,38,23.6,58.55,93.2,2.24
Farragut,1,US,1533501300,46,40.72,-95.48,91.87,11.41
Balkanabat,0,TM,1533503782,44,39.51,54.36,78.21,1.36
Vaitape,12,PF,1533503783,99,-16.52,-151.75,80.01,14.79
Dakoro,80,NE,1533503784,98,14.51,6.76,70.38,8.08
Porto Velho,76,BR,1533503784,73,-8.75,-63.87,82.98,2.71
Nordfjordeid,75,NO,1533502200,87,61.91,5.99,52.43,3.36
Mount Isa,0,AU,1533502800,25,-20.73,139.49,64.4,23.04
Marsh Harbour,0,BS,1533503785,95,26.54,-77.06,84.69,14.12
Dingle,92,PH,1533503785,98,11.0,122.67,74.79,10.76
Harper,75,US,1533502500,40,30.3,-99.24,86.13,20.8
Black River,20,JM,1533499200,70,18.03,-77.85,89.6,21.92
Rawson,0,AR,1533503787,46,-43.3,-65.11,58.5,10.2
Saint-Leu,0,RE,1533501000,52,-21.15,55.28,67.14,10.29
Burns Lake,0,CA,1533503787,47,54.23,-125.76,71.55,2.48
Vanimo,36,PG,1533503788,100,-2.67,141.3,81.18,5.5
Muswellbrook,88,AU,1533503788,72,-32.27,150.89,50.58,7.4
Matiari,8,PK,1533502800,70,25.6,68.45,84.2,13.87
Ulaangom,48,MN,1533503788,82,49.98,92.07,44.64,2.71
Tura,92,IN,1533503789,98,25.52,90.21,74.79,3.38
Geraldton,75,CA,1533502920,57,49.72,-86.95,80.6,16.11
Maceio,0,BR,1533502800,88,-9.67,-35.74,73.4,5.82
Tandil,36,AR,1533503790,65,-37.33,-59.14,55.89,10.09
